date,3M,AMAZON,APPLE,ASML,BOEING,COKE,DISNEY,EXXON,FACEBOOK,IBM,INTEL,JOHNSON,MCDONALDS,MERCK,MICROSOFT,NETFLIX,NVIDIA,PFIZER,SALESFORCE,WALMART
20100129,-0.02637,-0.067722,-0.088591,-0.083309,0.119527,-0.048246,-0.083721,-0.05514,,-0.065011,-0.04902,-0.024065,-0.00016,0.044882,-0.075459,0.129969,-0.176124,0.025838,-0.138539,-0.000374
20100226,0.002298,-0.055897,0.06538,-0.01344,0.049175,-0.028203,0.057191,0.015366,,0.043468,0.066366,0.010022,0.031555,-0.034049,0.022001,0.061044,0.052632,-0.049839,0.069237,0.011978
20100331,0.04267,0.146706,0.14847,0.156922,0.14962,0.051593,0.117478,0.030462,,0.008572,0.085728,0.034921,0.044949,0.023048,0.021538,0.116427,0.074074,-0.022792,0.095659,0.033891
20100430,0.061027,0.009796,0.111021,-0.077401,-0.002479,-0.028182,0.055285,0.011794,,0.005848,0.024675,-0.013804,0.058004,-0.061847,0.042595,0.341199,-0.097126,-0.025073,0.149765,-0.035252
20100528,-0.099639,-0.084902,-0.016125,-0.134721,-0.108104,-0.038354,-0.092834,-0.101372,,-0.023953,-0.055276,-0.084915,-0.044907,-0.038527,-0.150811,0.123862,-0.16359,-0.078349,0.010864,-0.05178
20100630,-0.004035,-0.129125,-0.020827,-0.027955,-0.022281,-0.016342,-0.057451,-0.05607,,-0.01421,-0.09197,0.013036,-0.014954,0.049273,-0.10814,-0.022492,-0.222983,-0.06369,-0.008205,-0.049248
20100730,0.082922,0.078986,0.022741,0.171824,0.085896,0.099561,0.069524,0.045733,,0.039844,0.059126,-0.016424,0.0586,-0.014584,0.121686,-0.056144,-0.099902,0.051893,0.152995,0.064905
20100831,-0.075579,0.058868,-0.055005,-0.231749,-0.096713,0.014017,-0.034135,-0.002178,,-0.035981,-0.13483,-0.009124,0.055643,0.020313,-0.085819,0.223988,0.01469,0.072667,0.11046,-0.014602
20100930,0.103883,0.258191,0.167215,0.202184,0.0885,0.055071,0.01721,0.045339,,0.089418,0.086895,0.086636,0.019847,0.057736,0.043682,0.291906,0.252761,0.079195,0.017474,0.067411
20101029,-0.028716,0.052018,0.060723,0.115372,0.061617,0.047847,0.09139,0.076064,,0.070523,0.044271,0.028728,0.043752,-0.013583,0.088812,0.070363,0.028976,0.014269,0.038193,0.012145
