date,3M,AMAZON,APPLE,ASML,BOEING,COKE,DISNEY,EXXON,FACEBOOK,IBM,INTEL,JOHNSON,MCDONALDS,MERCK,MICROSOFT,NETFLIX,NVIDIA,PFIZER,SALESFORCE,WALMART,
20100129,-0.037186,-0.037186,-0.037186,-0.037186,-0.037186,-0.037186,-0.037186,-0.037186,,-0.037186,-0.037186,-0.037186,-0.037186,-0.037186,-0.037186,-0.037186,-0.037186,-0.037186,-0.037186,-0.037186,
20100226,0.034754001,0.034754001,0.034754001,0.034754001,0.034754001,0.034754001,0.034754001,0.034754001,,0.034754001,0.034754001,0.034754001,0.034754001,0.034754001,0.034754001,0.034754001,0.034754001,0.034754001,0.034754001,0.034754001,
20100331,0.063688003,0.063688003,0.063688003,0.063688003,0.063688003,0.063688003,0.063688003,0.063688003,,0.063688003,0.063688003,0.063688003,0.063688003,0.063688003,0.063688003,0.063688003,0.063688003,0.063688003,0.063688003,0.063688003,
20100430,0.020039,0.020039,0.020039,0.020039,0.020039,0.020039,0.020039,0.020039,,0.020039,0.020039,0.020039,0.020039,0.020039,0.020039,0.020039,0.020039,0.020039,0.020039,0.020039,
20100528,-0.079267003,-0.079267003,-0.079267003,-0.079267003,-0.079267003,-0.079267003,-0.079267003,-0.079267003,,-0.079267003,-0.079267003,-0.079267003,-0.079267003,-0.079267003,-0.079267003,-0.079267003,-0.079267003,-0.079267003,-0.079267003,-0.079267003,
20100630,-0.050802,-0.050802,-0.050802,-0.050802,-0.050802,-0.050802,-0.050802,-0.050802,,-0.050802,-0.050802,-0.050802,-0.050802,-0.050802,-0.050802,-0.050802,-0.050802,-0.050802,-0.050802,-0.050802,
20100730,0.070384003,0.070384003,0.070384003,0.070384003,0.070384003,0.070384003,0.070384003,0.070384003,,0.070384003,0.070384003,0.070384003,0.070384003,0.070384003,0.070384003,0.070384003,0.070384003,0.070384003,0.070384003,0.070384003,
20100831,-0.042886999,-0.042886999,-0.042886999,-0.042886999,-0.042886999,-0.042886999,-0.042886999,-0.042886999,,-0.042886999,-0.042886999,-0.042886999,-0.042886999,-0.042886999,-0.042886999,-0.042886999,-0.042886999,-0.042886999,-0.042886999,-0.042886999,
20100930,0.091668002,0.091668002,0.091668002,0.091668002,0.091668002,0.091668002,0.091668002,0.091668002,,0.091668002,0.091668002,0.091668002,0.091668002,0.091668002,0.091668002,0.091668002,0.091668002,0.091668002,0.091668002,0.091668002,
20101029,0.038605999,0.038605999,0.038605999,0.038605999,0.038605999,0.038605999,0.038605999,0.038605999,,0.038605999,0.038605999,0.038605999,0.038605999,0.038605999,0.038605999,0.038605999,0.038605999,0.038605999,0.038605999,0.038605999,
20101130,0.005121,0.005121,0.005121,0.005121,0.005121,0.005121,0.005121,0.005121,,0.005121,0.005121,0.005121,0.005121,0.005121,0.005121,0.005121,0.005121,0.005121,0.005121,0.005121,
20101231,0.067212999,0.067212999,0.067212999,0.067212999,0.067212999,0.067212999,0.067212999,0.067212999,,0.067212999,0.067212999,0.067212999,0.067212999,0.067212999,0.067212999,0.067212999,0.067212999,0.067212999,0.067212999,0.067212999,
20110131,0.01919,0.01919,0.01919,0.01919,0.01919,0.01919,0.01919,0.01919,,0.01919,0.01919,0.01919,0.01919,0.01919,0.01919,0.01919,0.01919,0.01919,0.01919,0.01919,
20110228,0.038167998,0.038167998,0.038167998,0.038167998,0.038167998,0.038167998,0.038167998,0.038167998,,0.038167998,0.038167998,0.038167998,0.038167998,0.038167998,0.038167998,0.038167998,0.038167998,0.038167998,0.038167998,0.038167998,
20110331,0.003343,0.003343,0.003343,0.003343,0.003343,0.003343,0.003343,0.003343,,0.003343,0.003343,0.003343,0.003343,0.003343,0.003343,0.003343,0.003343,0.003343,0.003343,0.003343,
20110429,0.028602,0.028602,0.028602,0.028602,0.028602,0.028602,0.028602,0.028602,,0.028602,0.028602,0.028602,0.028602,0.028602,0.028602,0.028602,0.028602,0.028602,0.028602,0.028602,
20110531,-0.014957,-0.014957,-0.014957,-0.014957,-0.014957,-0.014957,-0.014957,-0.014957,,-0.014957,-0.014957,-0.014957,-0.014957,-0.014957,-0.014957,-0.014957,-0.014957,-0.014957,-0.014957,-0.014957,
20110630,-0.018453,-0.018453,-0.018453,-0.018453,-0.018453,-0.018453,-0.018453,-0.018453,,-0.018453,-0.018453,-0.018453,-0.018453,-0.018453,-0.018453,-0.018453,-0.018453,-0.018453,-0.018453,-0.018453,
20110729,-0.02255,-0.02255,-0.02255,-0.02255,-0.02255,-0.02255,-0.02255,-0.02255,,-0.02255,-0.02255,-0.02255,-0.02255,-0.02255,-0.02255,-0.02255,-0.02255,-0.02255,-0.02255,-0.02255,
20110831,-0.057597,-0.057597,-0.057597,-0.057597,-0.057597,-0.057597,-0.057597,-0.057597,,-0.057597,-0.057597,-0.057597,-0.057597,-0.057597,-0.057597,-0.057597,-0.057597,-0.057597,-0.057597,-0.057597,
20110930,-0.085029997,-0.085029997,-0.085029997,-0.085029997,-0.085029997,-0.085029997,-0.085029997,-0.085029997,,-0.085029997,-0.085029997,-0.085029997,-0.085029997,-0.085029997,-0.085029997,-0.085029997,-0.085029997,-0.085029997,-0.085029997,-0.085029997,
20111031,0.114215001,0.114215001,0.114215001,0.114215001,0.114215001,0.114215001,0.114215001,0.114215001,,0.114215001,0.114215001,0.114215001,0.114215001,0.114215001,0.114215001,0.114215001,0.114215001,0.114215001,0.114215001,0.114215001,
20111130,-0.006273,-0.006273,-0.006273,-0.006273,-0.006273,-0.006273,-0.006273,-0.006273,,-0.006273,-0.006273,-0.006273,-0.006273,-0.006273,-0.006273,-0.006273,-0.006273,-0.006273,-0.006273,-0.006273,
20111230,0.003671,0.003671,0.003671,0.003671,0.003671,0.003671,0.003671,0.003671,,0.003671,0.003671,0.003671,0.003671,0.003671,0.003671,0.003671,0.003671,0.003671,0.003671,0.003671,
20120131,0.054140002,0.054140002,0.054140002,0.054140002,0.054140002,0.054140002,0.054140002,0.054140002,,0.054140002,0.054140002,0.054140002,0.054140002,0.054140002,0.054140002,0.054140002,0.054140002,0.054140002,0.054140002,0.054140002,
20120229,0.041253,0.041253,0.041253,0.041253,0.041253,0.041253,0.041253,0.041253,,0.041253,0.041253,0.041253,0.041253,0.041253,0.041253,0.041253,0.041253,0.041253,0.041253,0.041253,
20120330,0.024039,0.024039,0.024039,0.024039,0.024039,0.024039,0.024039,0.024039,,0.024039,0.024039,0.024039,0.024039,0.024039,0.024039,0.024039,0.024039,0.024039,0.024039,0.024039,
20120430,-0.00684,-0.00684,-0.00684,-0.00684,-0.00684,-0.00684,-0.00684,-0.00684,,-0.00684,-0.00684,-0.00684,-0.00684,-0.00684,-0.00684,-0.00684,-0.00684,-0.00684,-0.00684,-0.00684,
20120531,-0.065641001,-0.065641001,-0.065641001,-0.065641001,-0.065641001,-0.065641001,-0.065641001,-0.065641001,,-0.065641001,-0.065641001,-0.065641001,-0.065641001,-0.065641001,-0.065641001,-0.065641001,-0.065641001,-0.065641001,-0.065641001,-0.065641001,
